Video ID,Title,Channel,Published At,Category ID,View Count,Like Count,Comment Count
JY59paT_Jik,🧳SM.1 풀버전ㅣ1세대부터 5세대까지 SM 대통합의 장ㅣ🧳🩷 출장십오야 X SM,채널십오야,2024-11-29T13:00:06Z,24,3210347,127712,4343
6iIA3p3DjvM,[#MMA2024] (여자)아이들 - LATATA + 한 + LION + TOMBOY + 퀸카 + 나는 아픈 건 딱 질색이니까 (MMA ver.) | #(여자)아이들 #GIDLE,멜론 Melon,2024-11-30T13:44:33Z,24,1333905,65122,3003
IW8qaemx74g,ROSÉ(로제) - APT. (Band VER.) (With. 이영지) [더 시즌즈-이영지의 레인보우] | KBS 241129 방송,KBS Kpop,2024-11-29T15:25:59Z,10,3399128,196621,5175
H9nkQgL7tp0,🧳SM.3 풀버전ㅣ 인물퀴즈에서 긴급상황이 다수 발생합니다..이멀젼시..ㅣ🧳🩷 출장십오야 X SM,채널십오야,2024-11-29T14:13:06Z,24,1797578,97902,4475
oQanvSArIh4,[#MMA2024] aespa - Whiplash + Supernova + Armageddon (MMA ver.) | #aespa #에스파,멜론 Melon,2024-11-30T13:04:40Z,24,1255806,81009,3589
0BjlBnfHcHM,"Beat Ronaldo, Win $1,000,000",MrBeast,2024-11-30T17:00:00Z,24,39531075,2995580,40463
V9vKNwJLhEI,[#유퀴즈온더블럭] 처음으로 꺼내는 엄마 고현정의 이야기💬 아이들과의 관계에서 느낀 슬픔🥺,tvN D ENT,2024-11-28T10:10:00Z,24,2544718,43492,7515
TPwaDAPK4gY,구마유시와 도란의 도란도란 사옥 탐방기!,T1,2024-11-30T05:00:22Z,20,1001734,38431,2286
kvnkYDi3UD0,[24/25 UEL] 토트넘 vs AS 로마 손흥민 주요장면｜SPOTV FOOTBALL,SPOTV,2024-11-28T23:00:38Z,17,2155146,18967,2394
A9oByH9Ci24,ROSÉ (로제) - number one girl [더 시즌즈-이영지의 레인보우] | KBS 241129 방송,KBS Kpop,2024-11-29T16:13:52Z,10,1818056,164650,5822
